Zipcode,City,Zhvi,YoY,Rank
98597,Yelm,198100,0.077215878,196
99205,Spokane,129900,0.077114428,197
98074,Sammamish,686500,0.077031691,198
98823,Ephrata,123700,0.076588338,199
98166,Burien,426000,0.076573161,200
98053,Redmond,676500,0.076543603,201
98376,Quilcene,248200,0.076322637,202
99005,Colbert,289700,0.07615156,203
98498,Lakewood,249000,0.076058773,204
98367,Port Orchard,291600,0.07601476,205
99016,Spokane Valley,212700,0.075872534,206
98406,Tacoma,291200,0.07572959,207
99207,Spokane,100900,0.075692964,208
99202,Spokane,122300,0.075637643,209
98370,Poulsbo,337500,0.075525813,210
99206,Spokane Valley,177300,0.075197089,211
98027,Issaquah,560900,0.074726959,212
98225,Bellingham,305000,0.074700493,213
98422,Tacoma,331700,0.074505993,214
98333,Fox Island,506500,0.074459058,215
98446,Summit,253300,0.074215437,216
98028,Kenmore,479600,0.073891626,217
98862,Winthrop,264700,0.073833671,218
99003,Chattaroy,268200,0.073658927,219
98390,Sumner,264900,0.073338736,220
99027,Otis Orchards-East Farms,228400,0.073308271,221
98057,Renton,266400,0.072463768,222
99025,Newman Lake,212100,0.072295248,223
98292,Stanwood,342700,0.072277847,224
99019,Liberty Lake,277800,0.072172906,225
98392,Suquamish,213600,0.071751129,226
98072,Woodinville,563400,0.071306332,227
98335,Gig Harbor,410900,0.071167883,228
98201,Everett,239500,0.071109123,229
98070,Vashon,494700,0.071011041,230
98204,Paine Field-Lake Stickney,235100,0.070582878,231
98361,Packwood,137100,0.070257611,232
98290,Snohomish,381400,0.070145903,233
98503,Lacey,221100,0.069666183,234
98365,Port Ludlow,323100,0.068805822,235
98338,Graham,280000,0.06870229,236
98903,Yakima,151100,0.068599717,237
98366,Port Orchard,232400,0.068505747,238
98467,University Place,326800,0.068322981,239
98342,Indianola,354600,0.067750678,240
98359,Olalla,336400,0.067597588,241
98199,Seattle,706000,0.067594133,242
99026,Nine Mile Falls,240100,0.067111111,243
98346,Kingston,334500,0.066985646,244
98932,Granger,119600,0.06690455,245
98513,Lacey,230800,0.066543438,246
98240,Custer,345200,0.066090179,247
98576,Rainier,223400,0.065839695,248
98815,Cashmere,240500,0.06557377,249
98371,Puyallup,278100,0.064293915,250
99224,Spokane,251400,0.06390182,251
98837,Moses Lake,135500,0.063579278,252
99216,Spokane Valley,167300,0.062897078,253
98847,Peshastin,238600,0.061860258,254
98403,Tacoma,362400,0.060269163,255
99362,Walla Walla,195300,0.060260586,256
98951,Wapato,107800,0.059980334,257
98388,Steilacoom,306300,0.059861592,258
98611,Castle Rock,200500,0.059165346,259
98632,Longview,168500,0.059082338,260
98610,Carson,164100,0.058709677,261
98251,Gold Bar,208400,0.05786802,262
98303,Puyallup,238700,0.057598582,263
98466,University Place,292300,0.056760665,264
98930,Grandview,132500,0.05661882,265
98380,Seabeck,364700,0.055571635,266
98250,Friday Harbor,428600,0.055405073,267
98645,Silverlake,224100,0.055084746,268
98329,Gig Harbor,278200,0.054986727,269
99324,College Place,192600,0.054764513,270
98244,Deming,233700,0.054602888,271
98569,Ocean Shores,143400,0.054411765,272
98568,Oakville,177100,0.054166667,273
99403,Clarkston,165200,0.053571429,274
98253,Greenbank,353900,0.05327381,275
98580,Roy,298500,0.052910053,276
98230,Blaine,246800,0.052452026,277
98226,Bellingham,311300,0.05240027,278
98579,Rochester,225600,0.052238806,279
98550,Hoquiam,79000,0.051930759,280
98229,Bellingham,321100,0.051752375,281
98936,Moxee,178100,0.051357733,282
98022,Enumclaw,320300,0.050853018,283
98942,Selah,198800,0.050184892,284
98075,Sammamish,785500,0.04985298,285
98948,Toppenish,109400,0.048897411,286
98901,Yakima,141700,0.048852702,287
98011,Bothell,463000,0.048222776,288
98077,Woodinville,685200,0.046266606,289
98908,Yakima,202900,0.045876289,290
98349,Lakebay,261200,0.045636509,291
98248,Ferndale,294000,0.045519203,292
98935,Mabton,117600,0.045333333,293
98944,Sunnyside,125200,0.045075125,294
99022,Medical Lake,179700,0.044767442,295
98332,Gig Harbor,422900,0.043682132,296
98902,Yakima,127700,0.043300654,297
98589,Tenino,234200,0.043207127,298
98465,Tacoma,254300,0.042640426,299
98047,Pacific,245300,0.041613588,300
98547,Grayland,124200,0.041072925,301
98257,La Conner,253100,0.04027949,302
98010,Black Diamond,360300,0.03982684,303
98339,Port Hadlock,202200,0.038520801,304
99110,Clayton,163100,0.038192234,305
98555,Lilliwaup,193700,0.034169781,306
98937,Naches,130900,0.033149171,307
98953,Zillah,164600,0.032622334,308
98528,Belfair,235600,0.030170529,309
98947,Tieton,148300,0.029146426,310
98595,Westport,124300,0.02897351,311
98247,Everson,304400,0.028725921,312
98826,Leavenworth,316600,0.028589994,313
98261,Eastsound,460400,0.02744923,314
98591,Toledo,211500,0.026699029,315
98340,Hansville,375100,0.026546251,316
98351,Longbranch,302100,0.026503568,317
98537,Cosmopolis,161300,0.026081425,318
98328,Eatonville,257900,0.023006743,319
98443,Waller,268700,0.022839741,320
98262,Lummi Island,361300,0.021487136,321
98295,Sumas,219300,0.020949721,322
98245,Eastsound,427400,0.017134698,323
99402,Asotin,211300,0.013429257,324
99101,Addy,151400,0.011356045,325
99109,Chewelah,147300,0.010288066,326
98584,Shelton,176600,0.008566533,327
98327,Dupont,291500,0.007604563,328
98377,Randle,125500,0.007223114,329
98938,Outlook,138600,0.006535948,330
99114,Colville,150700,0.003328895,331
98822,Entiat,205100,-0.001946472,332
98402,Tacoma,230800,-0.002592913,333
98520,Aberdeen,97800,-0.003058104,334
99141,Kettle Falls,156400,-0.005089059,335
98394,Vaughn,354900,-0.007550336,336
98592,Union,232100,-0.010656436,337
98266,Maple Falls,154100,-0.01596424,338
98548,Hoodsport,153000,-0.01607717,339
98051,Ravensdale,388000,-0.018963338,340
98851,Soap Lake,84700,-0.020809249,341
98304,Ashford,116000,-0.02274642,342
98241,Darrington,159700,-0.033292978,343
98857,Warden,64000,-0.058823529,344
99148,Loon Lake,198800,-0.087654888,345
